EicCode;EicDisplayName;EicLongName;EicParent;EicResponsibleParty;EicStatus;MarketParticipantPostalCode;MarketParticipantIsoCountryCode;MarketParticipantVatCode;EicTypeFunctionList;type
44Y-000000006317;44Y-000000006317;Energiavarasto Loppi GreenStack Oy;;44X-00000000248K;Active;;;;Metering Grid Area;Y
44Y-000000006325;44Y-000000006325;Anjalankosken ja Inkeroisten voimalaitosverkko;;23XFORTUMPOWER-W;Active;;;;Metering Grid Area;Y
67Y-VISKOL-2003T;VISKOL2003;VISKOL DOO NOVI SAD SRBIJA;;67X-RS-00000003H;Active;;;;Bidding Zone,ITC,Local Market Area,Market Area;Y
11Y0-0000-2937-G;TRAWA_AT;trawa energy Austria;;11X0-0000-0752-M;Active;;;;Balance Group;Y
44Y-000000006333;MIKO01;Mikonkeitaan tuulipuisto;;44X-00000000281M;Active;;;;Metering Grid Area;Y
11Y0-0000-2971-I;TEN-HANDEL;TEN-Handel;;11XTEN---------L;Active;;;;Balance Group;Y
44Y-000000006341;BIES01;Biosolar Energy Storage SPV 1 Oy Turku;;44X-00000000248K;Active;;;;Metering Grid Area;Y
44Y-00000000636Y;44Y-00000000636Y;Karhukankaan ja Navettakankaan tuulipuisto 2;;44X-00000000163S;Active;;;;Metering Grid Area;Y
11Y0-0000-2991-A;LW_BK_VERTRIEB;Lokalwerke GmbH Bilanzkreis Vertrieb;;11XSWAVERTRIEB14;Active;;;;Balance Group;Y
11Y0-0000-2995-Z;PROKON;Prokon Regenerative Energien eG;;11XPROKON------J;Active;;;;Balance Group;Y
14YSOGLMELDUNG-T;SOGL-MELDUNG;KELAG-Kärntner Elektrizitäts-Aktiengesellschaft;;;Active;;;;Balance Group;Y
44Y-00000000637W;EUP000;Euran paperin teollisuusverkko;;44X-000000000326;Active;;;;Metering Grid Area;Y
44Y-00000000638U;44Y-00000000638U;Nurmijärven aurinkopuisto;;44X-00000000039T;Active;;;;Metering Grid Area;Y
44Y-00000000639S;LIMIN0;Kuormatien lämpölaitos;;44X-00000000147Q;Active;;;;Metering Grid Area;Y
14YOEKOWATT----Y;OEKOWATT_L;Öko Watt GmbH;;14XSALZBURGAG-B8;Active;;;;Balance Group;Y
44Y-000000006406;NWJF10;Energiavarastot Nwj Fin Oy;;44X-00000000194H;Active;;;;Metering Grid Area;Y
45Y000000000010B;DK_INCAM_MPM;In Commodities Asset Management A/S;;45X000000000222A;Active;;;;Balance Group;Y
45Y0000000000119;DK_INCAM_NON_MPM;In Commodities Asset Management A/S;;45X000000000222A;Active;;;;Balance Group;Y
44Y-000000006414;44Y-000000006414;Aurora Oulu, Nokian kampus;;44X-00000000284G;Active;;;;Metering Grid Area;Y
63Y986185796641W;FRG_TEREGA;TEREGA;;;Active;;;;Local Market Area;Y
21Y0000000001391;N4G-AGGR-DISTRIB;Aggregated Distribution (CZ);;21X000000001304L;Active;;;;Local Market Area;Y
63Y256858662988P;FRG_POOL_PROD;GRTgaz aggregated biomethane producers;;;Active;;;;Local Market Area;Y
44Y-000000006422;KAPU01;Kapulin Energiavarasto;;44X-00000000248K;Active;;;;Metering Grid Area;Y
44Y-000000006430;KORP01;Korpilevonmäen Tuulipuisto;;44X-00000000208W;Active;;;;Metering Grid Area;Y
11Y0-0000-3134-M;OTTER-GREEN;otter-green;;11X0-0000-0821-W;Active;;;;Balance Group;Y
44Y-00000000644Z;MOKSY1;Möksyn wind farm;;44X-00000000208W;Active;;;;Metering Grid Area;Y
44Y-00000000645X;YLLB02;Yllikkälä Power Reserve Two;;44X-00000000135X;Active;;;;Metering Grid Area;Y
44Y-00000000646V;TUMU00;TuuliMuukko Wind Farm;;44X-00000000291J;Active;;;;Metering Grid Area;Y
44Y-00000000647T;VART00;Vartinoja 1 tuulipuisto;;44X-00000000292H;Active;;;;Metering Grid Area;Y
44Y-00000000648R;MATT01;Mattilan Energiavarasto;;44X-00000000248K;Active;;;;Metering Grid Area;Y
49Y000000000003M;TTN-VBZ_DK1;TTN-DK1 Virtual Bidding Zone on TTN Side;;10X1001A1001A361;Active;;;;Bidding Zone;Y
49Y000000000004K;TTN-VBZ_NO2;TTN-NO2 Virtual Bidding Zone on TTN Side;;10X1001A1001A361;Active;;;;Bidding Zone;Y
10Y1001C--001999;IE-FR-CL-AREA;Border area between IE and FR;;;Active;;;;Border Area;Y
10Y1001C--00158N;RO-BGVBZ;RO-BG virtual bidding zone on TEL side (advanced hybrid coupling);;10XRO-TEL------2;Active;;;;Border Area;Y
44Y-00000000649P;FI_MRT005;Mertaniemi 5 sähköakku;;44X-00000000090T;Active;;;;Metering Grid Area;Y
11Y0-0000-3195-W;11YMPM-METDE---A;11YMPM-METDE---A;;11X0-0000-0609-Q;Active;;;;Balance Group;Y
21Y000000000141E;WHV_LNG-ZONE;Wilhelmshaven, LNG-Zone;;21X-DE-C-A0A0A-T;Active;;;;Border Area;Y
44Y-000000006503;SII000;Siikakosken vesivoimalaitos;;44X-000000000334;Active;;;;Metering Grid Area;Y
44Y-000000006511;VER000;Verlan vesivoimalaitos;;44X-000000000334;Active;;;;Metering Grid Area;Y
44Y-00000000653Y;KANNU0;Kannuskosken vesivoimalaitos;;44X-000000000334;Active;;;;Metering Grid Area;Y
11Y0-0000-3204-T;REDIRECT-AT;REDIRECT-AT;;11X0-0000-0844-F;Active;;;;Balance Group;Y
44Y-00000000654W;HOG000;Högberginhaara kiinteistöverkko;;44X-00000000147Q;Active;;;;Metering Grid Area;Y
45YDOM-1001A0942;INCOMAS_WL;In Commodities A/S;;45X000000000043A;Active;;;;Balance Group;Y
45Y0000000000127;INCOMAS_WL_;In Commodities A/S;;45X000000000043A;Active;;;;Balance Group;Y
